,Idealista,Finca rústica en Sant Llorenç des Cardassar,8.350,18,1355
,Idealista,Casa o chalet en Carrer de Ses Escoles - Selva,2.500,2,100
,Idealista,Apartamento en Artà,1.700,3,407
,Idealista,Piso en Palma de Mallorca,1.500,3,120
,Idealista,Piso en Palma de Mallorca,1.400,3,120
,Idealista,Piso en Carrer del Bastió D'en Sanoguera - Palma de Mallorca,1.950,4,195
,Idealista,Piso en Carrer de Méndez Núñez - Pollença,1.150,3,112
,Idealista,Piso en Palma de Mallorca,1.100,2,130
,Idealista,Casa o chalet en Palma de Mallorca,2.200,4,231
,Idealista,Ático en Palma de Mallorca,1.500,4,160
,Idealista,Piso en Palma de Mallorca,1.000,2,70
,Idealista,Piso en Carrer Estrella de Mar - Ses Salines,1.000,3,101
,Idealista,Apartamento en Carrer de Sant Ramon de Penyafort - Sóller,950,1,60
,Idealista,Casa o chalet en Santanyí,2.500,4,100
,Idealista,Piso en Palma de Mallorca,1.700,4,170
,Idealista,Piso en Palma de Mallorca,975,1,56
,Idealista,Piso en Palma de Mallorca,1.200,3,110
,Idealista,Finca rústica en Mancor de la Vall,1.700,2,85
,Idealista,Apartamento en Calvià,1.500,3,87
,Idealista,Piso en Manacor,1.150,3,90
,Idealista,Apartamento en Palma de Mallorca,950,1,50
,Idealista,Piso en Palma de Mallorca,1.300,3,122
,Idealista,Ático en Palma de Mallorca,1.180,1,87
,Idealista,Ático en Palma de Mallorca,3.000,1,60
,Idealista,Dúplex en Santa María del Camí,1.350,3,190
,Idealista,Casa o chalet en Santanyí,1.300,3,160
,Idealista,Casa o chalet en Muro,1.750,3,200
,Idealista,Piso en Palma de Mallorca,1.350,2,108
,Idealista,Finca rústica en Artà,1.700,2,110
,Idealista,Casa o chalet en Santa Margalida,1.300,4,170
,Idealista,Piso en Palma de Mallorca,1.100,2,140
,Idealista,Casa o chalet en Binissalem,3.500,5,350
,Idealista,Casa o chalet en Llucmajor,3.000,5,337
,Idealista,Piso en Carrer de Margalida Caimari - Palma de Mallorca,1.150,2,170
,Idealista,Piso en Carrer Amílcar - Palma de Mallorca,1.300,3,90
,Idealista,Piso en Carrer de Gaston Vuillier - Palma de Mallorca,1.600,3,205
,Idealista,Ático en Palma de Mallorca,1.950,4,200
,Idealista,Piso en Palma de Mallorca,1.500,4,150
,Idealista,Ático en Palma de Mallorca,1.300,2,90
,Idealista,Piso en Carrer Cervantes - 5 - Palma de Mallorca,1.790,4,110
,Idealista,Ático en D'hiroshima - Palma de Mallorca,1.100,2,130
,Idealista,Ático en Palma de Mallorca,1.100,2,130
,Idealista,Piso en Campos,950,3,140
,Idealista,Piso en Palma de Mallorca,1.200,3,100
,Idealista,Piso en Palma de Mallorca,1.200,3,110
,Idealista,Casa o chalet en Andratx,2.850,3,500
,Idealista,Apartamento en Palma de Mallorca,950,1,60
,Idealista,Finca rústica en Campanet,1.390,3,140
,Idealista,Piso en Llucmajor,1.100,3,127
,Idealista,Piso en Palma de Mallorca,1.200,2,60
,Idealista,Piso en Palma de Mallorca,1.500,3,135
,Idealista,Dúplex en Carrer Des Saluet - Andratx,1.350,2,95
,Idealista,Piso en Plaça Cort - Palma de Mallorca,1.000,2,100
,Idealista,Finca rústica en Llucmajor,1.300,3,150
,Idealista,Casa o chalet en Sóller,1.300,3,104
,Idealista,Casa adosada en Cami Can Frontera - Marratxí,1.600,3,154
,Idealista,Casa o chalet en Carretera Arenal - Palma de Mallorca,2.300,4,250
,Idealista,Piso en Palma de Mallorca,1.275,3,100
,Idealista,Finca rústica en Camí de Son Xorc - Campos,1.800,3,180
,Idealista,Piso en Reverendo Fco. Sitjar - 4 - Palma de Mallorca,1.100,1,57
,Idealista,Casa adosada en Palma de Mallorca,2.200,4,175
,Idealista,Casa o chalet en Muro,1.590,3,121
,Idealista,Piso en Palma de Mallorca,1.600,3,173
,Idealista,Casa o chalet en Palma de Mallorca,1.600,3,170
,Idealista,Piso en Carrer Caro - 45 - Palma de Mallorca,1.200,2,80
,Idealista,Piso en Palma de Mallorca,1.250,3,104
,Idealista,Piso en Palma de Mallorca,990,3,95
,Idealista,Piso en Carrer de Les Rafaletes - 13 - Palma de Mallorca,1.500,3,120
,Idealista,Apartamento en Carrer Paraires - Palma de Mallorca,1.500,2,90
,Idealista,Piso en Carrer Bernareggi - 4 - Palma de Mallorca,2.500,4,180
,Idealista,Dúplex en Carrer Sant Cristòfol - Palma de Mallorca,1.400,2,114
,Idealista,Piso en Carrer Estanislau de Kostka Aguiló - 5 - Palma de Mallorca,1.600,3,92
,Idealista,Piso en Avinguda Gabriel Roca - Palma de Mallorca,1.200,2,70
,Idealista,Casa o chalet en Sa Pobla,4.000,5,339
,Idealista,Piso en Murillo - Palma de Mallorca,1.600,3,173
,Idealista,Apartamento en Carrer Ramon I Cajal - 15 - Palma de Mallorca,1.590,3,85
,Idealista,Finca rústica en Manacor,3.000,3,230
,Idealista,Apartamento en Plaça de la Mediterrània - 5 - Palma de Mallorca,1.490,2,65
,Idealista,Planta baja en Palma de Mallorca,1.600,3,115
,Idealista,Piso en Carrer Puig de Pollença - 69 - Palma de Mallorca,1.100,2,80
,Idealista,Planta baja en Palma de Mallorca,1.600,3,115
,Idealista,Estudio en Cecilo Metelo - Pollença,600,1,50
,Idealista,Piso en Calle Son Carbo - Campos,900,3,110
,Idealista,Piso en Carrer Antich - Palma de Mallorca,1.300,4,134
,Idealista,Casa o chalet en Sóller,1.300,3,104
,Idealista,Casa adosada en Cami Can Frontera - Marratxí,1.600,3,154
,Idealista,Casa o chalet en Carretera Arenal - Palma de Mallorca,2.300,4,250
,Idealista,Piso en Palma de Mallorca,1.275,3,100
,Idealista,Finca rústica en Camí de Son Xorc - Campos,1.800,3,180
,Idealista,Piso en Reverendo Fco. Sitjar - 4 - Palma de Mallorca,1.100,1,57
,Idealista,Casa adosada en Palma de Mallorca,2.200,4,175
,Idealista,Casa o chalet en Muro,1.590,3,121
,Idealista,Piso en Palma de Mallorca,1.600,3,173
,Idealista,Casa o chalet en Palma de Mallorca,1.600,3,170
,Idealista,Piso en Carrer Caro - 45 - Palma de Mallorca,1.200,2,80
,Idealista,Piso en Palma de Mallorca,1.250,3,104
,Idealista,Piso en Palma de Mallorca,990,3,95
,Idealista,Piso en Carrer de Les Rafaletes - 13 - Palma de Mallorca,1.500,3,120
,Idealista,Apartamento en Carrer Paraires - Palma de Mallorca,1.500,2,90
,Idealista,Piso en Carrer Bernareggi - 4 - Palma de Mallorca,2.500,4,180
,Idealista,Dúplex en Carrer Sant Cristòfol - Palma de Mallorca,1.400,2,114
,Idealista,Piso en Carrer Estanislau de Kostka Aguiló - 5 - Palma de Mallorca,1.600,3,92
,Idealista,Piso en Avinguda Gabriel Roca - Palma de Mallorca,1.200,2,70
,Idealista,Casa o chalet en Sa Pobla,4.000,5,339
,Idealista,Piso en Murillo - Palma de Mallorca,1.600,3,173
,Idealista,Apartamento en Carrer Ramon I Cajal - 15 - Palma de Mallorca,1.590,3,85
,Idealista,Finca rústica en Manacor,3.000,3,230
,Idealista,Apartamento en Plaça de la Mediterrània - 5 - Palma de Mallorca,1.490,2,65
,Idealista,Planta baja en Palma de Mallorca,1.600,3,115
,Idealista,Piso en Carrer Puig de Pollença - 69 - Palma de Mallorca,1.100,2,80
,Idealista,Planta baja en Palma de Mallorca,1.600,3,115
,Idealista,Estudio en Cecilo Metelo - Pollença,600,1,50
,Idealista,Piso en Calle Son Carbo - Campos,900,3,110
,Idealista,Piso en Carrer Antich - Palma de Mallorca,1.300,4,134
,Idealista,Casa o chalet en Sóller,1.300,3,104
,Idealista,Casa adosada en Cami Can Frontera - Marratxí,1.600,3,154
,Idealista,Casa o chalet en Carretera Arenal - Palma de Mallorca,2.300,4,250
,Idealista,Piso en Palma de Mallorca,1.275,3,100
,Idealista,Finca rústica en Camí de Son Xorc - Campos,1.800,3,180
,Idealista,Piso en Reverendo Fco. Sitjar - 4 - Palma de Mallorca,1.100,1,57
,Idealista,Casa adosada en Palma de Mallorca,2.200,4,175
,Idealista,Casa o chalet en Muro,1.590,3,121
,Idealista,Piso en Palma de Mallorca,1.600,3,173
,Idealista,Casa o chalet en Palma de Mallorca,1.600,3,170
,Idealista,Piso en Carrer Caro - 45 - Palma de Mallorca,1.200,2,80
,Idealista,Piso en Palma de Mallorca,1.250,3,104
,Idealista,Piso en Palma de Mallorca,990,3,95
,Idealista,Piso en Carrer de Les Rafaletes - 13 - Palma de Mallorca,1.500,3,120
,Idealista,Apartamento en Carrer Paraires - Palma de Mallorca,1.500,2,90
,Idealista,Piso en Carrer Bernareggi - 4 - Palma de Mallorca,2.500,4,180
,Idealista,Dúplex en Carrer Sant Cristòfol - Palma de Mallorca,1.400,2,114
,Idealista,Piso en Carrer Estanislau de Kostka Aguiló - 5 - Palma de Mallorca,1.600,3,92
,Idealista,Piso en Avinguda Gabriel Roca - Palma de Mallorca,1.200,2,70
,Idealista,Casa o chalet en Sa Pobla,4.000,5,339
,Idealista,Piso en Murillo - Palma de Mallorca,1.600,3,173
,Idealista,Apartamento en Carrer Ramon I Cajal - 15 - Palma de Mallorca,1.590,3,85
,Idealista,Finca rústica en Manacor,3.000,3,230
,Idealista,Apartamento en Plaça de la Mediterrània - 5 - Palma de Mallorca,1.490,2,65
,Idealista,Planta baja en Palma de Mallorca,1.600,3,115
,Idealista,Piso en Carrer Puig de Pollença - 69 - Palma de Mallorca,1.100,2,80
,Idealista,Planta baja en Palma de Mallorca,1.600,3,115
,Idealista,Estudio en Cecilo Metelo - Pollença,600,1,50
,Idealista,Piso en Calle Son Carbo - Campos,900,3,110
,Idealista,Piso en Carrer Antich - Palma de Mallorca,1.300,4,134
,Idealista,Casa o chalet en Sóller,1.300,3,104
,Idealista,Casa adosada en Cami Can Frontera - Marratxí,1.600,3,154
,Idealista,Casa o chalet en Carretera Arenal - Palma de Mallorca,2.300,4,250
,Idealista,Piso en Palma de Mallorca,1.275,3,100
,Idealista,Finca rústica en Camí de Son Xorc - Campos,1.800,3,180
,Idealista,Piso en Reverendo Fco. Sitjar - 4 - Palma de Mallorca,1.100,1,57
,Idealista,Casa adosada en Palma de Mallorca,2.200,4,175
,Idealista,Casa o chalet en Muro,1.590,3,121
,Idealista,Piso en Palma de Mallorca,1.600,3,173
,Idealista,Casa o chalet en Palma de Mallorca,1.600,3,170
,Idealista,Piso en Carrer Caro - 45 - Palma de Mallorca,1.200,2,80
,Idealista,Piso en Palma de Mallorca,1.250,3,104
,Idealista,Piso en Palma de Mallorca,990,3,95
,Idealista,Piso en Carrer de Les Rafaletes - 13 - Palma de Mallorca,1.500,3,120
,Idealista,Apartamento en Carrer Paraires - Palma de Mallorca,1.500,2,90
,Idealista,Piso en Carrer Bernareggi - 4 - Palma de Mallorca,2.500,4,180
,Idealista,Dúplex en Carrer Sant Cristòfol - Palma de Mallorca,1.400,2,114
,Idealista,Piso en Carrer Estanislau de Kostka Aguiló - 5 - Palma de Mallorca,1.600,3,92
,Idealista,Piso en Avinguda Gabriel Roca - Palma de Mallorca,1.200,2,70
,Idealista,Casa o chalet en Sa Pobla,4.000,5,339
,Idealista,Piso en Murillo - Palma de Mallorca,1.600,3,173
,Idealista,Apartamento en Carrer Ramon I Cajal - 15 - Palma de Mallorca,1.590,3,85
,Idealista,Finca rústica en Manacor,3.000,3,230
,Idealista,Apartamento en Plaça de la Mediterrània - 5 - Palma de Mallorca,1.490,2,65
,Idealista,Planta baja en Palma de Mallorca,1.600,3,115
,Idealista,Piso en Carrer Puig de Pollença - 69 - Palma de Mallorca,1.100,2,80
